Pref,2021/07/01,2021/07/02,2021/07/03,2021/07/04,2021/07/05,2021/07/06,2021/07/07,2021/07/08,2021/07/09,2021/07/10,2021/07/11,2021/07/12,2021/07/13,2021/07/14,2021/07/15,2021/07/16,2021/07/17,2021/07/18,2021/07/19,2021/07/20,2021/07/21,2021/07/22,2021/07/23,2021/07/24,2021/07/25,2021/07/26,2021/07/27,2021/07/28,2021/07/29,2021/07/30,2021/07/31,2021/08/01,2021/08/02,2021/08/03,2021/08/04,2021/08/05,2021/08/06,2021/08/07,2021/08/08,2021/08/09,2021/08/10,2021/08/11,2021/08/12,2021/08/13,2021/08/14,2021/08/15,2021/08/16,2021/08/17,2021/08/18,2021/08/19,2021/08/20,2021/08/21,2021/08/22,2021/08/23,2021/08/24,2021/08/25,2021/08/26,2021/08/27,2021/08/28,2021/08/29,2021/08/30,2021/08/31,2021/09/01,2021/09/02,2021/09/03,2021/09/04,2021/09/05,2021/09/06,2021/09/07,2021/09/08,2021/09/09,2021/09/10,2021/09/11,2021/09/12,2021/09/13,2021/09/14,2021/09/15,2021/09/16,2021/09/17,2021/09/18,2021/09/19,2021/09/20,2021/09/21,2021/09/22,2021/09/23,2021/09/24,2021/09/25,2021/09/26,2021/09/27,2021/09/28,2021/09/29,2021/09/30,2021/10/01,2021/10/02,2021/10/03,2021/10/04,2021/10/05,2021/10/06,2021/10/07,2021/10/08,2021/10/09,2021/10/10,2021/10/11,2021/10/12,2021/10/13,2021/10/14,2021/10/15,2021/10/16,2021/10/17,2021/10/18,2021/10/19,2021/10/20,2021/10/21,2021/10/22,2021/10/23,2021/10/24,2021/10/25,2021/10/26,2021/10/27,2021/10/28,2021/10/29,2021/10/30,2021/10/31,2021/11/01,2021/11/02,2021/11/03,2021/11/04,2021/11/05,2021/11/06,2021/11/07,2021/11/08,2021/11/09,2021/11/10,2021/11/11,2021/11/12,2021/11/13,2021/11/14,2021/11/15,2021/11/16,2021/11/17,2021/11/18,2021/11/19,2021/11/20,2021/11/21,2021/11/22,2021/11/23,2021/11/24,2021/11/25,2021/11/26,2021/11/27,2021/11/28,2021/11/29,2021/11/30,2021/12/01,2021/12/02,2021/12/03,2021/12/04,2021/12/05,2021/12/06,2021/12/07,2021/12/08,2021/12/09,2021/12/10,2021/12/11,2021/12/12,2021/12/13,2021/12/14,2021/12/15,2021/12/16,2021/12/17,2021/12/18,2021/12/19,2021/12/20,2021/12/21,2021/12/22,2021/12/23,2021/12/24,2021/12/25,2021/12/26,2021/12/27,2021/12/28,2021/12/29,2021/12/30,2021/12/31
10,192591,204170,212932,219449,232502,244751,256739,267690,278910,288223,295800,310721,324212,338999,352847,365921,376509,383119,397426,411621,426062,431587,434326,446907,454862,472881,488231,504292,519805,536353,550245,559749,572036,585089,597057,608285,622813,636409,646729,654972,671209,684802,694113,701338,710868,720616,732354,746289,759381,772336,788473,800396,809562,822870,835387,847339,859787,873000,885670,894021,901548,911249,921143,931177,939939,948180,955078,965158,975707,986647,998732,1011441,1024759,1034343,1045455,1055567,1066138,1076696,1087415,1101571,1111404,1116575,1129739,1143898,1150489,1164444,1179707,1191066,1201640,1210636,1219438,1227783,1236239,1246437,1249876,1256917,1263251,1269122,1275096,1283431,1290964,1295041,1298720,1304342,1309367,1312015,1319756,1327311,1331398,1336403,1340966,1346160,1350262,1357535,1366713,1371295,1375876,1379809,1383420,1386323,1392046,1400072,1403048,1406070,1408708,1409335,1412753,1416244,1420948,1423235,1424773,1425768,1427306,1428354,1430014,1432165,1432819,1433987,1435039,1435943,1436991,1438709,1440613,1441189,1441898,1442042,1442633,1443342,1444603,1446658,1447025,1447707,1448547,1448786,1448929,1449583,1450459,1450697,1451137,1451333,1451643,1451829,1452514,1453260,1453497,1453868,1453930,1454224,1454360,1455187,1456000,1456357,1456757,1456963,1457174,1457410,1457914,1458629,1458832,1459137,1459354,1459427,1459438,1459439
11,684310,723289,759930,793282,826721,861197,896042,935518,971802,1010342,1051406,1086056,1122303,1157326,1197648,1234972,1275474,1313186,1349491,1388609,1429516,1452569,1466169,1509074,1546465,1599608,1654493,1706645,1761088,1817782,1865922,1894925,1947745,2003234,2056888,2116068,2180362,2228014,2260184,2273621,2325036,2369328,2396164,2418541,2441337,2464065,2501736,2544985,2584046,2621692,2664153,2698186,2727371,2766014,2804026,2836326,2867328,2903702,2937380,2965906,2983775,3010366,3033239,3057964,3082015,3106212,3126325,3150535,3179499,3207863,3237494,3272360,3309461,3342183,3374923,3411074,3446173,3483125,3525338,3570245,3606145,3616650,3663120,3706394,3725954,3777834,3831410,3878331,3921977,3964947,4007885,4048333,4092556,4136897,4177503,4217029,4257942,4293214,4328509,4374661,4421819,4460609,4479714,4510795,4537780,4556092,4591869,4634222,4667716,4694485,4723624,4749006,4775958,4810935,4854448,4890424,4918715,4949789,4976856,5005070,5038742,5080330,5111176,5136688,5163236,5168410,5192587,5220930,5252584,5275456,5294860,5313702,5329773,5343969,5365644,5391768,5408464,5421461,5433891,5443287,5451651,5465474,5484148,5495232,5503699,5506127,5511237,5516441,5526165,5538500,5547889,5553337,5559502,5561970,5564069,5567523,5571792,5572785,5574427,5575991,5577253,5578339,5581030,5585482,5586839,5588265,5588749,5590106,5591442,5594092,5597825,5598877,5600272,5601704,5603037,5604070,5606528,5609676,5610574,5611474,5612310,5612715,5612822,5612838
12,581974,612238,637581,657519,685961,717357,747429,776810,808667,836348,865959,896606,928512,959457,989897,1022065,1050830,1088139,1123058,1165072,1205525,1222415,1237979,1273798,1311556,1358910,1407691,1456702,1504259,1559441,1605105,1646205,1696847,1749242,1799931,1851861,1909796,1949780,1984025,1996404,2038777,2077361,2102934,2124031,2141993,2163783,2196321,2233222,2268570,2299957,2333990,2362124,2391036,2423863,2457134,2489845,2519076,2552487,2583197,2609663,2629928,2661369,2686902,2712433,2738683,2758356,2776465,2799241,2825448,2851007,2875979,2909206,2940848,2964703,2992612,3022608,3050240,3080320,3117759,3150986,3176668,3183749,3222013,3259203,3272597,3317098,3358176,3391053,3426212,3463685,3498177,3534455,3568457,3603727,3633423,3661665,3692369,3725496,3757589,3794852,3832748,3859202,3874536,3900258,3926566,3943148,3973019,4004862,4036244,4058424,4082816,4107532,4129850,4158613,4192200,4224862,4247756,4271119,4294541,4316693,4343873,4374944,4405502,4424329,4442591,4449957,4467842,4489308,4514285,4531568,4545316,4557517,4570073,4580621,4594545,4610638,4620563,4628677,4637278,4646245,4654119,4663034,4675267,4681461,4686408,4688070,4692891,4697615,4704942,4714567,4721613,4727195,4732260,4735370,4737048,4741079,4746689,4750287,4752440,4754139,4755896,4757103,4760636,4765972,4768860,4770503,4770952,4772212,4773865,4776211,4780389,4782069,4783051,4783808,4784811,4785792,4787502,4790160,4791835,4792786,4793508,4793614,4793645,4793651
13,1383090,1452044,1510284,1552800,1615337,1684090,1752435,1811469,1877774,1945156,2008027,2071217,2137688,2204380,2269420,2341410,2414947,2481888,2560673,2648989,2744444,2795087,2839642,2933021,2999718,3119326,3245925,3375288,3504643,3648840,3765689,3842666,3965417,4093925,4225067,4356943,4498663,4604276,4681987,4723440,4842086,4954890,5039520,5120888,5197414,5265652,5355943,5453818,5552323,5641816,5740077,5822590,5895124,5981639,6069080,6155894,6232921,6316668,6399110,6472988,6523515,6593186,6657812,6724029,6791718,6860507,6927367,6981170,7042003,7106922,7169750,7238570,7317844,7383538,7439299,7502155,7570144,7639421,7716016,7791650,7857727,7883178,7959851,8040315,8074861,8156797,8235330,8294773,8358265,8424056,8490155,8558760,8624372,8682525,8727552,8776558,8828540,8880981,8932722,8997823,9057660,9105945,9131827,9172514,9211319,9245187,9297133,9350596,9393279,9423079,9455992,9489698,9527250,9568775,9619062,9657112,9683735,9711628,9742144,9770289,9803323,9844140,9875529,9896457,9916660,9927053,9948590,9973082,9999672,10015450,10029277,10044397,10060833,10074636,10094656,10113565,10127124,10137045,10146731,10157846,10168675,10182612,10200441,10211546,10217574,10220346,10225810,10231646,10241040,10253112,10260915,10265152,10269542,10272088,10274711,10278912,10283642,10286181,10288300,10290500,10292644,10295198,10299609,10304753,10307698,10309793,10310937,10313488,10315880,10320412,10325734,10328560,10330443,10332590,10334364,10336130,10339660,10344572,10347068,10348493,10349645,10350056,10350263,10350378
14,762659,803959,841296,874794,916640,965334,1014534,1064431,1116391,1168159,1217615,1272720,1328063,1382584,1434328,1488462,1538153,1589998,1644429,1703412,1770556,1812452,1841585,1906342,1966811,2039218,2112256,2191020,2273906,2356607,2430896,2481846,2541402,2605707,2677027,2753470,2826986,2893183,2937960,2954879,3012846,3070216,3113396,3151733,3185785,3218707,3266397,3320283,3373316,3422095,3475920,3518977,3554030,3605631,3659233,3708903,3755037,3807552,3854537,3889385,3914466,3953895,3994051,4035516,4071111,4110285,4143780,4175089,4212312,4252996,4295664,4338493,4387019,4423161,4459644,4501310,4549739,4597364,4643991,4701376,4745172,4758317,4812821,4867445,4893289,4950313,5018603,5066683,5117372,5169750,5225256,5281232,5337378,5403078,5453398,5504576,5558894,5610466,5661178,5721616,5784151,5831425,5850758,5887454,5925253,5955929,6000964,6052086,6094569,6125113,6160290,6194491,6227917,6266205,6315961,6355547,6382377,6411066,6439915,6469240,6501856,6542182,6573301,6597698,6620099,6628648,6649895,6674075,6710989,6734474,6746468,6758709,6771031,6782055,6796746,6817197,6829260,6837146,6845529,6853883,6862143,6872432,6887520,6898028,6902743,6904527,6908533,6914231,6921185,6932810,6939527,6943643,6948287,6950377,6952713,6955705,6962090,6964615,6966432,6968107,6969659,6970753,6972972,6977144,6978871,6980653,6981211,6982700,6983765,6986105,6990446,6992095,6993596,6995231,6996603,6997519,6999332,7002466,7003693,7004972,7005802,7006134,7006223,7006233
15,307495,319401,331265,343144,351978,362062,371051,380970,390507,404642,422038,432642,443148,453583,464337,473068,492071,511626,522052,533708,547147,552789,557273,578632,600266,615438,630645,647584,664125,679600,711182,728973,742897,758274,774917,790539,805738,828917,846445,849499,863014,875433,880251,882370,889823,894804,901198,909814,918807,925499,933468,949386,963087,971452,978443,986460,994988,1002928,1015899,1026157,1029467,1034185,1041115,1046245,1049361,1065958,1081288,1085997,1093393,1101865,1109607,1116116,1134287,1154684,1160151,1167006,1176213,1184275,1194332,1206405,1216319,1219986,1230123,1241580,1250147,1262466,1289503,1313181,1320600,1329135,1337618,1344717,1355569,1375399,1391879,1399073,1407415,1414681,1422476,1431504,1451152,1462370,1465420,1471505,1477712,1480272,1486566,1496903,1504396,1510151,1516142,1523102,1529603,1537689,1549202,1556941,1561628,1566787,1571928,1576707,1584181,1596970,1606761,1609790,1613694,1615012,1619026,1624813,1637784,1645198,1647049,1649332,1652565,1655399,1659819,1670361,1681143,1682384,1684222,1685924,1688145,1690074,1692942,1695106,1695698,1696743,1697462,1698278,1699261,1700966,1701960,1702229,1702662,1702866,1703112,1703805,1704422,1704545,1704839,1705252,1705503,1705707,1706227,1706660,1706970,1707375,1707421,1707681,1708160,1708780,1710318,1711092,1711368,1711579,1711847,1711953,1712531,1713421,1714222,1714642,1714871,1714928,1714939,1714940
16,134528,141563,149105,154366,159317,164786,169928,175282,180643,186263,191494,196144,201476,206353,211626,216750,223794,228766,233624,239218,244891,245965,247267,254627,262144,269174,276404,283732,290143,297706,308018,313439,320421,327202,333733,340744,347702,355887,359932,360844,366912,372492,374411,375870,378372,379941,381417,386729,391274,395667,400654,406179,412500,417134,422162,426315,430636,436138,443122,449230,450478,456589,461542,466966,471405,474396,476186,478528,484205,489394,494099,500127,507731,513173,518223,523233,527719,531556,537425,545683,550268,550767,556621,559864,560628,565965,574660,582593,586168,590914,595551,600100,605659,613107,619989,623031,626480,631377,636041,642110,652002,659910,660648,664459,670438,671780,679058,688465,693698,698801,703213,707737,712091,718108,728943,734589,738532,742667,745999,748614,753474,759510,763995,767140,770103,770134,771883,774329,778834,779756,781643,783686,785472,786703,789072,791016,791343,792279,793139,794194,794823,796272,797959,798660,799969,800062,800550,801696,803654,806453,807319,808641,809779,809952,810110,810393,811167,811185,811284,811374,811454,811618,811807,811984,811997,812091,812095,812163,812264,812439,812655,812752,812819,812881,812960,813014,813190,813557,813810,814031,814064,814102,814102,814103
17,163335,171263,177305,182426,188678,195012,200362,205972,210754,215922,221865,226690,231344,237215,243635,247824,254057,260565,265975,271494,278404,281030,282003,289351,296596,302883,309343,318520,327321,335312,343810,350404,357099,363493,371181,378121,386477,395615,403477,404888,412337,419255,421773,423680,427825,431426,435099,439839,445275,450140,455380,463757,472247,477446,482869,488789,494564,499183,506588,515261,516444,521163,526641,532292,536198,540105,543025,546693,551712,558265,564134,570073,576939,582264,587442,592043,596678,602097,608026,615575,621158,621964,626074,630226,631597,635319,643013,650119,653345,656334,658955,662925,665573,671482,678264,681484,685191,689487,694398,699956,707465,713499,714582,718017,722496,725262,731077,737265,741428,744884,748035,752272,756232,761823,767288,770741,773466,775822,778186,781126,786057,792503,794079,797078,798983,799416,802254,804562,807969,810280,811750,812957,813978,814799,816343,819058,820387,821189,822009,822976,823700,824766,826321,827132,827533,827810,828152,828676,829742,831031,831063,831475,831817,832037,832282,832831,833162,833168,833524,833807,834011,834191,834761,835161,835174,835474,835502,835739,836011,836383,836681,836763,836943,837129,837254,837573,838085,838606,838703,838883,839038,839083,839114,839114
18,103757,107655,110999,114865,118918,122711,125876,129813,133457,136916,139537,143085,146792,150692,154880,158785,164149,167922,172743,177577,182990,186254,187548,192975,196721,202427,208020,214400,221392,227581,234364,237966,243426,248819,253778,260061,265414,270011,273088,274016,280612,285903,289592,291878,294555,296309,298325,302488,306340,310250,314046,318925,323849,327586,333119,338339,343337,347846,354114,359042,360371,363692,367101,371185,374736,378404,381774,384081,387621,391226,394985,399388,404281,409659,413004,416441,420519,424695,429333,434555,439015,440104,444339,448154,450520,454994,461392,465172,468283,471280,474168,477907,480771,485437,488447,490559,492842,494934,497083,500032,505271,508356,508721,510187,511837,512634,514730,517721,520393,522511,525111,526465,527833,531827,536541,539283,541979,544672,545340,547021,550401,555548,557130,557483,557917,557938,558214,558600,559347,560177,560415,560677,560976,561097,561474,562373,562569,562782,562999,563274,563383,563726,564517,564601,564792,564866,565014,565083,565376,566227,566266,566387,566555,566725,566786,566981,567920,567949,568040,568189,568360,568443,568702,569084,569136,569212,569281,569419,569456,569706,570176,570340,570416,570647,570843,570911,571036,571508,571515,571562,571617,571621,571621,571621
19,93131,96804,103073,110952,113820,117268,120537,124294,127773,134707,144051,147942,153012,159703,165704,171152,175908,181605,185363,189992,195126,198005,199330,205689,212851,217569,223331,228681,234958,240496,246404,249792,253464,257618,260899,264219,267688,271165,273148,274858,278410,281647,283464,285296,288461,291370,294049,297599,300097,302765,306067,311339,317321,321614,325032,328227,331516,335246,343284,351072,351842,355503,358343,361295,363408,366433,370088,371905,375003,379966,385064,390751,399738,409169,413112,418107,422437,427576,432266,440467,449427,449919,453373,457385,458616,462150,469636,477129,480544,483638,486959,489844,493768,503173,510688,512980,515358,517577,519712,523429,531242,537864,538174,540482,542072,543389,545631,550518,555682,557314,559586,561222,563113,565128,570356,574848,576554,578779,580209,581942,584343,589305,592474,593641,595044,595104,596256,597481,600730,601930,602771,603687,604231,604851,605818,607524,608181,608785,609050,609373,609615,610128,611188,611647,611828,611837,611924,612024,612575,613210,613563,613678,613855,613949,614076,614205,614385,614646,614735,614972,615205,615328,615839,616210,616212,616343,616433,616485,616557,616737,617099,617634,617686,617745,617791,617818,617911,618022,618026,618058,618094,618094,618094,618094
20,269842,279618,292214,306715,314599,323405,331255,340053,349330,360253,370985,381171,393223,404553,414504,426126,439612,452857,462288,473823,485333,489639,493667,509118,521267,537439,554185,571368,586590,601030,620427,634496,645022,656265,665912,675481,685869,698002,707814,710459,721532,730740,735045,737055,742781,748379,750491,758372,766676,773628,781085,792500,804034,812448,821278,829310,836580,845526,860145,872890,874106,881417,887509,893572,897247,900495,904105,908507,918718,928499,938573,948868,963248,975232,984418,993866,1002367,1010912,1020333,1030409,1040229,1042481,1053647,1063599,1067150,1078170,1097843,1115115,1123308,1130752,1138334,1145265,1154490,1169747,1183846,1193032,1203033,1214168,1223984,1236110,1257871,1274922,1278298,1285256,1292615,1297627,1306084,1316521,1325924,1332896,1342131,1350001,1357890,1367501,1380417,1391873,1397488,1404192,1410255,1417149,1425134,1434807,1443247,1449088,1455556,1457091,1463183,1470564,1481674,1491142,1493655,1495771,1498270,1500583,1503614,1510334,1514826,1517232,1519329,1521575,1523758,1527070,1533095,1535958,1536718,1536900,1537322,1538368,1540154,1543341,1545204,1545958,1546883,1547591,1548273,1549191,1551078,1551223,1551669,1552080,1552543,1553037,1553883,1554900,1555247,1555709,1555731,1556088,1556579,1557500,1558485,1558524,1558690,1558910,1559255,1559463,1560259,1561409,1561567,1561863,1562044,1562102,1562102,1562102
21,267950,280350,295286,310533,321242,333086,343942,355996,365226,377611,392725,403950,414606,425511,436765,445734,458895,474002,484103,494021,503539,506754,509283,523483,537372,549268,561120,575163,587577,601001,619751,629705,639425,648624,657531,667049,677303,692735,705594,708311,717217,725558,729735,732525,740185,747809,755080,764013,773159,781962,791943,806947,822963,831425,839525,848179,858153,867432,885473,904236,906227,912866,919806,925926,931226,940407,949277,954877,961885,969512,977278,985712,1003302,1014856,1021513,1029013,1037195,1044711,1052972,1065212,1073947,1075035,1083660,1092724,1094867,1105881,1129255,1142902,1151557,1159842,1167782,1175538,1184202,1197454,1209151,1217637,1225861,1233710,1241490,1250596,1269345,1283290,1284467,1290023,1296018,1297168,1303916,1315586,1325954,1331498,1337300,1342927,1348050,1354791,1369832,1376962,1381229,1385161,1389422,1392877,1398522,1411776,1417345,1421857,1427010,1427591,1432061,1438304,1449077,1456482,1458911,1461448,1464398,1466745,1470543,1478895,1483708,1485182,1486573,1487792,1489323,1491778,1497551,1501521,1501994,1502140,1502411,1503095,1504214,1507404,1508888,1509172,1509519,1509635,1509829,1510245,1511197,1511525,1511636,1511712,1511806,1511916,1512196,1512917,1513387,1513437,1513443,1513603,1513686,1514018,1514411,1514447,1514511,1514614,1514721,1514791,1515016,1515835,1516307,1516385,1516464,1516476,1516476,1516476
22,381596,399250,418132,437353,451283,465848,482001,498863,513252,530867,550969,569764,588297,608164,628556,648018,671376,695895,714738,734895,754769,765214,775430,800677,823853,848743,875919,903592,933416,962410,993094,1012874,1033959,1058541,1081783,1104491,1129754,1153477,1165244,1171429,1193003,1213335,1223277,1230956,1242270,1251159,1268515,1289021,1309836,1331113,1354033,1373963,1391944,1411152,1429917,1447359,1465266,1485189,1507654,1526486,1535789,1550439,1565344,1580305,1593191,1610473,1625308,1640903,1656703,1672363,1689357,1707381,1731354,1746764,1761512,1777295,1795738,1812845,1832306,1856713,1871979,1877155,1898902,1919322,1928388,1951325,1983815,2011251,2031998,2054541,2076398,2099481,2121059,2150512,2174012,2192214,2209578,2225468,2242090,2263207,2290809,2314055,2322550,2335847,2349311,2358860,2375589,2400833,2418342,2435130,2448955,2466597,2483147,2500921,2527381,2547020,2561735,2576644,2595801,2613940,2632457,2660894,2679068,2691606,2703838,2709464,2723826,2739793,2763379,2777426,2782711,2786977,2791835,2796092,2802132,2810259,2815159,2817942,2819978,2822091,2824176,2829653,2836703,2840283,2841570,2841773,2842436,2843691,2846416,2850451,2853339,2854726,2855982,2856549,2857053,2857911,2859607,2860468,2860992,2861513,2862676,2863791,2864734,2866674,2867188,2867900,2867982,2868987,2869446,2870480,2872493,2872746,2873081,2873301,2873839,2874107,2875363,2877502,2877746,2878085,2878286,2878349,2878382,2878382
23,746020,792909,840878,876327,916097,955344,987553,1026070,1063351,1104533,1140124,1172720,1204765,1238715,1267750,1299736,1335222,1379057,1400969,1425342,1454536,1461661,1468252,1503207,1541398,1577250,1615839,1658995,1700161,1744019,1791617,1836748,1878062,1924941,1970474,2019301,2075407,2133796,2175981,2188362,2237891,2282917,2306924,2320660,2352129,2378028,2427370,2479565,2529723,2582277,2636488,2700445,2740842,2787404,2831339,2881013,2924425,2976759,3029570,3072968,3095639,3129677,3162644,3195230,3223388,3254302,3281470,3309097,3340047,3375003,3405225,3441210,3484271,3529862,3559890,3592778,3621219,3651576,3689362,3736721,3768112,3776807,3817534,3855088,3864205,3913741,3989564,4043046,4085355,4127980,4164429,4199465,4246768,4305149,4347172,4382496,4416108,4448765,4480573,4523601,4586909,4628344,4640943,4665559,4688938,4700884,4730443,4776053,4809813,4831236,4853831,4877326,4897299,4926963,4972938,5008116,5028624,5049408,5068036,5084449,5110173,5148597,5174197,5190514,5205135,5208278,5221857,5242266,5269292,5282708,5291799,5300129,5308262,5315095,5328162,5343472,5352210,5357038,5361326,5365906,5370357,5377451,5390904,5396130,5398206,5398301,5399467,5401381,5405195,5413616,5418093,5420213,5422527,5423691,5424792,5427405,5432218,5435166,5436558,5437662,5438774,5439726,5442116,5445662,5446711,5447962,5448091,5449038,5449668,5451867,5455261,5456497,5457373,5458318,5459161,5459812,5461429,5464185,5464384,5465059,5465669,5465859,5465877,5465883
24,238357,247304,257131,270122,278083,285845,293168,301604,309508,320105,333069,340608,348202,355290,364103,370994,379742,392909,400366,408327,416217,421078,423733,437291,453987,464497,474191,483971,496054,506211,521700,534111,544270,554911,566346,579469,590764,604041,614485,616896,627474,637987,643534,645504,649109,653237,660753,669048,677901,687878,696342,706858,716687,724859,732867,741173,750178,758474,770678,779066,781394,788176,794360,801338,805154,809403,812401,818129,825420,831924,839538,847004,856729,868397,874788,882483,889285,898653,906470,917857,933205,935029,944860,953533,957658,968944,983276,999047,1007439,1015129,1022620,1033371,1041986,1056302,1068839,1076453,1084570,1091871,1100239,1109212,1122762,1133256,1135881,1141978,1146553,1149431,1154647,1164954,1173508,1178087,1183505,1188870,1194342,1200165,1210212,1221550,1225642,1229793,1233633,1238144,1243032,1251465,1263616,1267470,1270524,1270714,1274266,1278376,1285200,1291980,1294235,1295844,1297496,1300786,1303537,1308207,1313922,1315212,1316100,1317019,1318574,1320571,1323417,1325525,1326353,1326789,1326846,1327905,1329666,1331947,1334146,1334964,1335737,1336322,1337184,1338207,1339081,1339467,1339916,1340186,1340453,1340930,1341491,1342383,1343250,1343374,1343378,1343498,1343566,1343850,1344878,1345102,1345236,1345334,1345417,1345459,1345852,1346838,1347406,1347475,1347530,1347548,1347561,1347561
25,151162,156482,163180,171127,176710,182599,188853,195523,201768,207926,216569,223830,231320,238479,245606,252973,260267,268245,274783,281812,288821,294445,300132,309705,319635,329208,339128,349584,358031,368300,379960,386265,392849,398765,405132,412076,420241,433178,443299,446953,456285,462629,467865,471325,476508,481725,489528,499896,509216,517475,527199,538654,549898,557648,565518,573081,580624,589732,599334,607211,611151,616555,620206,624753,628706,633734,638436,640991,644282,648108,652129,657173,664559,671095,675148,679222,683557,689447,695191,704134,713548,715241,722459,729348,733469,742233,754273,764604,772584,780680,788709,797040,805099,815552,824762,831376,838075,844464,851911,860093,871880,881086,884533,889184,894420,898687,904635,913853,921842,926689,931548,935595,940231,946040,955825,964695,968771,971771,974954,979708,984509,992444,997658,999466,1001393,1002453,1005283,1008919,1013508,1016255,1017835,1020184,1022363,1024568,1027092,1029837,1031646,1033651,1035515,1037051,1038886,1041553,1044893,1046397,1047518,1047527,1048124,1049014,1050569,1052805,1053881,1054378,1054769,1054900,1054989,1055210,1055953,1056315,1056426,1056551,1056659,1056883,1057109,1057570,1057916,1058053,1058083,1058176,1058328,1058927,1059801,1060075,1060248,1060371,1060518,1060607,1060802,1061170,1061345,1061449,1061537,1061567,1061585,1061585
26,336565,349129,362136,375586,387172,399173,410967,421907,433728,446998,462509,473629,486447,500408,513035,526823,543836,558425,571410,585998,601651,605457,609048,628225,648064,667437,685923,705559,723346,744040,766798,783786,798440,813005,828732,842777,859595,880168,896609,900084,912607,922039,927398,931746,936560,940854,947027,955721,965528,973234,982396,993364,1002511,1010666,1019245,1029896,1038374,1048467,1062587,1076300,1079060,1088167,1096799,1105779,1111928,1118279,1124439,1129211,1139504,1150076,1159389,1170646,1187377,1204739,1213471,1223775,1234107,1244011,1254916,1271384,1286270,1287686,1299183,1310273,1312105,1325734,1348103,1365036,1377679,1389297,1400264,1410213,1421377,1438147,1449901,1459013,1468895,1478352,1487072,1498240,1518137,1529569,1533119,1543531,1553480,1556591,1565284,1583273,1596442,1602968,1612207,1621063,1627807,1636323,1653445,1669847,1676856,1683801,1690258,1696880,1704189,1716359,1728720,1733472,1737972,1738173,1742159,1747103,1755585,1763656,1766537,1769159,1771407,1773921,1777268,1783533,1787046,1788512,1790152,1791679,1793123,1795530,1799025,1801676,1802844,1803021,1803465,1804573,1806691,1810100,1812747,1813712,1815127,1815934,1816662,1818221,1820209,1821219,1821802,1822444,1822973,1823434,1824866,1826204,1827639,1828140,1828286,1828825,1829301,1830389,1832203,1833092,1833423,1833919,1834184,1834689,1835728,1837080,1837738,1838069,1838459,1838521,1838543,1838543
27,973495,1026584,1073849,1113906,1159629,1207554,1254170,1300059,1347503,1395490,1440647,1486577,1534509,1580644,1627339,1677164,1728628,1776328,1825030,1878943,1937835,1961918,1983231,2048685,2100887,2172640,2246391,2317407,2385762,2464474,2543148,2597702,2661865,2727560,2790902,2851041,2920621,2984347,3022758,3038166,3091973,3134794,3159244,3176896,3201174,3222884,3261603,3307097,3348471,3386834,3432152,3475805,3506119,3543828,3580235,3612216,3645007,3685084,3722151,3750065,3765699,3795795,3820941,3846419,3871955,3894658,3915407,3941147,3975541,4010266,4044699,4090377,4138793,4172714,4212629,4254742,4296171,4337083,4387758,4438883,4472013,4487183,4542655,4593715,4610221,4669394,4734930,4773451,4819229,4864470,4908470,4950744,5000570,5051149,5080378,5118673,5156434,5193027,5226132,5271147,5321312,5348118,5361609,5391637,5421192,5436031,5472373,5513437,5534805,5559740,5586146,5611693,5635317,5671056,5715008,5741581,5768014,5794359,5819351,5841038,5872895,5913840,5937971,5959105,5979199,5984150,6002744,6027866,6059345,6074753,6090096,6103290,6115566,6125861,6142817,6165057,6175149,6184466,6193964,6202453,6209736,6222549,6239830,6248192,6253893,6255517,6258877,6263330,6272078,6283475,6288938,6293201,6297508,6300060,6302283,6306761,6313093,6315045,6317293,6319077,6320977,6322365,6325549,6329936,6330676,6332547,6333181,6334894,6336357,6339445,6344019,6345261,6346977,6348190,6349680,6350846,6352863,6356576,6358606,6360073,6361044,6361621,6361752,6361753
28,627958,661185,692947,722456,757812,793471,828152,856721,891146,928187,959072,990779,1023165,1056384,1088067,1115147,1149947,1183997,1216167,1250957,1288381,1308023,1321647,1369120,1418831,1455852,1495045,1534922,1576582,1619091,1668151,1700749,1730418,1762401,1793330,1824814,1858073,1887939,1907542,1915046,1945759,1971829,1987531,2000436,2015697,2028532,2050754,2079394,2106069,2129850,2155336,2184716,2203227,2226007,2248594,2269554,2290357,2313077,2338905,2361055,2370926,2392167,2411644,2430438,2449834,2469842,2492207,2506762,2523985,2547961,2568638,2594202,2628683,2659287,2682452,2702468,2723238,2743577,2770489,2805409,2835078,2846279,2874912,2902621,2914863,2948426,2990709,3020558,3049627,3075526,3102364,3129110,3158709,3195348,3219762,3240911,3261171,3284757,3307109,3333879,3370327,3396922,3407250,3424978,3447534,3460077,3483559,3516212,3538255,3552714,3568810,3587395,3602641,3623557,3654726,3676999,3691017,3705322,3718899,3732029,3748977,3778534,3799989,3809523,3820974,3825814,3835434,3849242,3871652,3885084,3892762,3900166,3908983,3915353,3925596,3941637,3949289,3954679,3958879,3965023,3968972,3976352,3987469,3992233,3995209,3995698,3997099,3999304,4004149,4010475,4012613,4014624,4016198,4017511,4018515,4020915,4024301,4025636,4026783,4027859,4028833,4029797,4031841,4035281,4036468,4037464,4037800,4038778,4039592,4041258,4043720,4044587,4045555,4046429,4047292,4048069,4049668,4052702,4053883,4054765,4055425,4055782,4055850,4055851
